epoch,epoch_time_seconds,eval_accuracy,eval_loss,train_accuracy,train_loss
1,33.92346932600003,0.1024,3.783489971923828,0.07706,4.024211178894043
2,31.967915477000133,0.1565,3.4838412132263183,0.13134,3.6530240881347655
3,32.42125745600015,0.1855,3.3170078433990478,0.16574,3.439249949493408
4,33.77726494799981,0.222,3.1510910301208495,0.19404,3.2799004681396484
5,32.70950482399985,0.2497,2.9910081672668456,0.21794,3.157383593902588
6,34.84281131800026,0.255,2.951948257446289,0.233,3.079141022872925
7,33.03262658199992,0.2659,2.903115676879883,0.24852,2.999872554168701
8,33.38358220500004,0.2908,2.784507068634033,0.26148,2.925627735595703
9,32.93102937499998,0.3023,2.73374080657959,0.27868,2.8540555851745606
10,33.1686219369999,0.3074,2.7040896293640135,0.29034,2.790336562652588
