epoch,epoch_time_seconds,eval_accuracy,eval_loss,train_accuracy,train_loss
1,28.569303881999986,0.0819,3.986603078460693,0.0633,4.154695967254638
2,27.775396745999387,0.088,3.9579206130981444,0.0822,3.9989472679138185
3,28.079257607999352,0.0846,4.004156539916992,0.08616,3.9505979379272462
4,27.574443130999498,0.0917,3.9183692138671873,0.0864,3.9630830139160156
5,27.438183152999954,0.0951,3.9171106101989746,0.08354,3.982713482131958
6,26.47878534099982,0.0828,3.9736967948913575,0.0884,3.941800191345215
7,25.823601615999905,0.0974,3.89618338394165,0.08822,3.947894334182739
8,27.34560164300001,0.0986,3.8805694694519044,0.0938,3.9160347315216066
9,28.03653850900082,0.0923,3.9279049240112305,0.09328,3.9286867722320555
10,27.591013184000076,0.1005,3.877237464904785,0.0914,3.928780118865967
