epoch,epoch_time_seconds,eval_accuracy,eval_loss,train_accuracy,train_loss
1,188.99700792700014,0.061,4.170192065429688,0.05166,4.2261783682250975
2,188.4385826800003,0.0654,4.115142227935791,0.06492,4.1030273764038085
3,187.6631868180002,0.0644,4.135228531646728,0.05894,4.17542232093811
4,187.03871534300015,0.0672,4.132761522674561,0.06134,4.153297867584229
5,185.5562204349999,0.0625,4.17263243560791,0.05894,4.167361863098145
6,183.8214936689992,0.0591,4.2380198471069335,0.05982,4.180740750732422
7,182.7663168170002,0.0731,4.119324787902832,0.05956,4.193557704467773
8,181.72054336300062,0.0668,4.112018109893799,0.0619,4.169798138427734
9,182.00225739100006,0.0634,4.166219244384766,0.05894,4.188330750427246
10,181.46034776499982,0.0553,4.221974113464356,0.05376,4.227994461364746
